location,route
Halbau,"['Rothenburg/Oberlausitz', 'Niesky', 'Bautzen', 'Kamenz', 'Großenhain', 'Riesa', 'Wermsdorf', 'Dehnitz', 'Bennewitz', 'Bergen-Belsen']"
Halberstadt,"['Könnern', 'Zörbig', 'Bitterfeld', 'Bad Düben', 'Pressel', 'Langenreichenbach', 'Luppa', 'Riesa', 'Deutschenbora', 'Freiberg', 'Brand-Erbisdorf', 'Langenau', 'Borstendorf', 'Grünhainichen', 'Klaffenbach', 'Neukirchen/Erzgeb.', 'Mittelbach', 'Oberlungwitz']"
Hartmannsdorf,"['Seidenberg', 'Zittau', 'Spitzcunnersdorf', 'Seifhennersdorf', 'Löbau', 'Bautzen', 'Kamenz', 'Königsbrück', 'Glauschnitz', 'Sacka', 'Thiendorf', 'Schönfeld/R.', 'Quersa', 'Adelsdorf', 'Großenhain', 'Wildenhain', 'Glaubitz', 'Zeithain', 'Röderau', 'Lessa', 'Bobersen', 'Gohlis', 'Kleinzschepa', 'Lorenzkirch', 'Strehla', 'Oppitzsch', 'Riesa', 'Gröba', 'Merzdorf', 'Canitz', 'Bornitz', 'Lonnewitz', 'Oschatz', 'Lampersdorf', 'Hubertusburg', 'Wermsdorf', 'Mutzschen', 'Pegau', 'Weißenfels', 'Naumburg', 'Bad Kösen', 'Bad Sulza', 'Apolda', 'Weimar', 'Buchenwald']"
Harzungen,"['Großenhain', 'folbern', 'Radeburg', 'Radeberg', 'Stolpen', 'Sebnitz', 'Hinterhermsdorf', 'Schönlinde', 'Rabstein']"
Kittlitztreben,"['Bunzlau', 'Görlitz', 'Königshain', 'Weißenberg', 'Bautzen', 'Pulsnitz', 'Langebrück', 'Elbebrücke Dresden', 'Weistropp', 'Hühndorf', 'Blankenstein', 'Neukirchen', 'Krummenhennersdorf', 'Langhennersdorf', 'Bockendorf', 'flöha', 'Erdmannsdorf', 'Dittmannsdorf', 'Gornau', 'Weißbach/Erzgeb.', 'Kemtau', 'Burkhardtsdorf', 'Adorf/Erzgebirge', 'Erlbach-Kirchberg', 'Lichtenstein/Sa.', 'Zwickau', 'Königswalde', 'Lauterbach', 'Mannichswalde', 'Kauern', 'Zwötzen', 'Oberröppisch', 'Weißig', 'Markersdorf/T.', 'Saara', 'Eineborn', 'Ottendorf', 'Altendorf', 'Milda', 'Buchenwald']"
Langenstein-Zwieberge,"['Bitterfeld', 'Krina', 'Söllichau', 'Trossin', 'Dommitzsch', 'Prettin', 'Wittenberg/Elbe']"
Lichtenburg,['Hof/S.']
Neusalz,"['Christianstadt', 'Bad Muskau', 'Nochten', 'Weißwasser/Oberlausitz', 'Bautzen', 'Bischofswerda', 'Helmsdorf', 'Pirna', 'Zehista', 'Karlsbad', 'flossenbürg', 'Leipzig Hauptbahnhof', 'Bergen-Belsen']"
Schwarzheide,"['Kamenz', 'Bischofswerda', 'Neustadt/Sachsen', 'Rugiswalde', 'Sebnitz', 'Saupsdorf', 'Hinterhermsdorf', 'Schönlinde', 'Warnsdorf', 'Leipa', 'Leitmeritz', 'Theresienstadt']"
Sonneberg,"['Neuhaus am Rennweg', 'Lehesten', 'Sonneberg', 'Kronach', 'Lobenstein', 'Saalburg', 'Mehltheuer', 'Syrau', 'Neundorf bei Lobenstein', 'Kürbitz', 'Meßbach', 'Pirk', 'Bobenneukirchen', 'Bergen/Adorf', 'Hermsgrün', 'Leubetha', 'Wohlbach', 'Gunzen', 'Rautenkranz', 'Zwota', 'Klingenthal', 'Tannenbergsthal', 'Rautenkranz', 'Carlsfeld']"
