id;location;geo_name;coordinates;wikidata;street;additional_address;geo_name_alt
225;Elsnig;Elsnig;51.610833333333,12.927777777778;Q16046;;(pr.;Prov.
319;Elsnig;Elsnig;51.610833333333,12.927777777778;Q16046;;(pr.;Prov.
226;Elstra;Elstra;51.220555555556,14.130555555556;Q81735;;;
320;Elstra;Elstra;51.220555555556,14.130555555556;Q81735;;;
227;Eppendorf;Eppendorf, Saxony;50.799166666667,13.227777777778;Q70949;;;
321;Eppendorf;Eppendorf, Saxony;50.799166666667,13.227777777778;Q70949;;;
228;Erdmannsdorf;Erdmannsdorf;50.821,13.0767;Q1349336;;;
322;Erdmannsdorf;Erdmannsdorf;50.821,13.0767;Q1349336;;;
229;Erlbach-Kirchberg;Erlbach-Kirchberg;50.760833333333,12.752777777778;Q57753;;;
323;Erlbach-Kirchberg;Erlbach-Kirchberg;50.760833333333,12.752777777778;Q57753;;;
230;Eschenbach;Eschenbach;50.3675,12.3208;Q1366984;;;
324;Eschenbach;Eschenbach;50.3675,12.3208;Q1366984;;;
231;Etzdorf;Etzdorf;51.05055618,13.17972183;Q17540341;;;
325;Etzdorf;Etzdorf;51.05055618,13.17972183;Q17540341;;;
332;Falkenau an der Eger;Sokolov;50.181415762132,12.640181474439;Q727383;;(Sokolov);
239;Falkenberg/Elster;Falkenberg/Elster;51.583055555556,13.232222222222;Q570094;;(pr.;Sachsen)
240;Falkenstein/V.;Falkenstein, Saxony;50.466666666667,12.366666666667;Q46863;;;
334;Falkenstein/V.;Falkenstein, Saxony;50.466666666667,12.366666666667;Q46863;;;
241;Fischbach;Fischbach;51.0847,14.0181;Q1419738;;;
335;Fischbach;Fischbach;51.0847,14.0181;Q1419738;;;
242;flöha;Flöha;50.855833333333,13.071388888889;Q71166;;;
336;flöha;Flöha;50.855833333333,13.071388888889;Q71166;;;
339;flößberg;Flößberg concentration camp;51.1281,12.5825;Q1719256;;;
;;;51.116699,12.583299;;;;
340;flossenbürg;Flossenbürg concentration camp;49.735698,12.3569;Q274354;;;
342;folbern;Folbern;51.30005,13.58939;Q46285849;;;
249;forberge;Forberge;;;;(b.;Riesa/Rittergut)
250;fördergersdorf;Fördergersdorf;50.9961,13.5397;Q1479919;;;
344;fördergersdorf;Fördergersdorf;50.9961,13.5397;Q1479919;;;
251;förstgen;Förstgen bei Niesky;51.3,14.6583;Q160863;;(b.;Bautzen)
252;Freiberg;Freiberg;50.911944444444,13.342777777778;Q14819;;;
255;Freital;Freital;51.016666666667,13.65;Q5870;;;
256;Freystadt;Kożuchów;51.75,15.6;Q142101;;(Kozuchöw);
257;Friedebach;Friedebach;50.7258,13.4511;Q1456455;;(b.;Sayda)
258;Friedersdorf/G.;Friedersdorf;51.096,14.869;Q1417551;;(b.;Görlitz)
259;Friedersdorf;Friedersdorf;50.8444,13.5214;Q2696708;;(b.;Pretzschendorf)
