id,location,route,location_lat,location_lng
57,Wolkenburg,"['Herrnsdorf', 'Uhlsdorf', 'Rüßdorf', 'Bernsdorf', 'Hohndorf', 'Stollberg', 'Zwönitz', 'Grünhain', 'Beierfeld', 'Schwarzenberg', 'Johanngeorgenstadt', 'Karlsbad', 'Waldsassen', 'Neustadt/Bayern', 'Weiden', 'Irrenlohe', 'Regensburg', 'Dachau']",50.8994219 50.895309 50.88418 50.784958 50.766666666667 50.746111111111 50.708333333333 50.630277777778 50.578611111111 50.561111111111 50.545277777778 50.433333333333 50.230555555556 50 49.732096 49.67353055555556 49.3627 49.016666666666666 48.2699,12.6655105 12.662392 12.65369 12.640405 12.666666666667 12.669166666667 12.778333333333 12.813333333333 12.808888888889 12.787222222222 12.779166666667 12.713888888889 12.8725 12.3 12.178127 12.16606111111111 12.1056 12.083333333333334 11.4683
58,Zittau,[],50.896111111111,14.807222222222
59,Zschachwitz,['Leitmeritz'],51 50.53355947692,13.8417 14.131899491403
60,Zschopau,"['Wilischthal', 'Annaberg/Erzgeb.', 'Theresienstadt']",50.75 50.7258 50.58015 50.510278,13.066666666667 13.0563 13.00231 14.149722
61,Zwickau,"['Lengenfeld/V.', 'Rodewisch', 'Wernesgrün', 'Rothenkirchen-Stützengrün', 'Neulehn', 'Schönheide', 'Eibenstock', 'Wildenthal', 'Johanngeorgenstadt', 'Karlsbad', 'Tachau']",50.718888888889 50.566666666667 50.5309 50.5300 50.5390 50.5222 50.5 50.495555555556 50.4508 50.433333333333 50.230555555556 49.795398066933,12.496111111111 12.366666666667 12.4049 12.4707 12.5026 12.5301 12.5333 12.5975 12.6361 12.713888888889 12.8725 12.633709213451
62,Altenburg,"['Münsa', 'Gössnitz', 'Meerane', 'Glauchau']",50.985 50.9843 50.8904 50.851944444444 50.823333333333,12.433333333333 12.4747 12.4311 12.463611111111 12.544444444444
63,Aschersleben,"['Alsleben', 'Könnern', 'Zörbig', 'Bitterfeld', 'Delitzsch', 'Eilenburg', 'Torgau', 'Falkenberg/Elster', 'Riesa', 'Leitmeritz']",51.75 51.701 51.669722222222 51.61666666666667 51.623888888889 51.526388888889 51.460833333333 51.560277777778 51.583055555556 51.308055555556 50.53355947692,11.466666666667 11.68 11.770833333333 12.116666666666667 12.33 12.3425 12.635833333333 13.005555555556 13.232222222222 13.293888888889 14.131899491403
64,Aslau,"['Bunzlau', 'Lauban', 'Görlitz', 'Königshain', 'Weißenberg', 'Bautzen', 'Crostwitz', 'Kamenz', 'Großenhain', 'Riesa', 'Oschatz', 'Wurzen', 'Eilenburg', 'Krostitz', 'Delitzsch', 'Brehna', 'Eisleben', 'Sangerhausen', 'Berga', 'Nordhausen', 'Bergen-Belsen']",51.316666666667 51.266666666667 51.116666666667 51.152777777778 51.179722222222 51.1977 51.181388888889 51.238252 51.266666666667 51.283333333333 51.308055555556 51.300277777778 51.366666666667 51.460833333333 51.46208 51.526388888889 51.55756 51.516666666667 51.466666666667 51.456666666667 51.505 52.758899,15.75 15.566666666667 15.3 14.987222222222 14.88 14.6605 14.423888888889 14.244133 14.1 13.55 13.293888888889 13.107222222222 12.716666666667 12.635833333333 12.4536 12.3425 12.21282 11.55 11.3 11.007777777778 10.791111111111 9.907099
65,Berga/Elster,"['Teichwolframsdorf', 'Gottesgrün', 'Reuth/Sachsen', 'Neumark', 'Hauptmannsgrün', 'Irfersgrün', 'Stangengrün', 'Obererinitz', 'Bärenwalde', 'Albernau', 'Bockau', 'Sosa', 'Lindenau', 'Steinheidel', 'Breitenbrunn', 'Rittersgrün', 'Goldenhöhe', 'Gottesgab', 'Schmiedeberg', 'Theresienstadt', 'Manetin']",50.75 50.720555555556 50.6725 50.671501 50.666666666667 50.627066 50.61237 50.5853 50.5719 50.5653 50.548888888889 50.5422 50.499166666667 50.5883 50.480277777778 50.474722222222 50.473333333333 50.43744 50.409844098288 50.8375 50.510278 49.991879087154,12.166666666667 12.246944444444 12.3025 12.320441 12.35 12.392591 12.427177 12.4494 12.485 12.5283 12.655833333333 12.6857 12.651944444444 12.604 12.722222222222 12.766666666667 12.801111111111 12.84497 12.924545971721 13.675277777778 14.149722 13.233260034019
66,Bunzlau,"['Görlitz', 'Chemnitz', 'Leipzig Mitte', 'Halle', 'Mittelbau-Dora', 'Bergen-Belsen']",51.266666666667 51.152777777778 50.833333333333 51.34 51.48277777777778 51.535524 52.758899,15.566666666667 14.987222222222 12.916666666667 12.375 11.969722222222222 10.748665 9.907099
67,Bunzlau,"['Görlitz', 'Bautzen', 'Kamenz', 'Großenhain', 'Riesa', 'Oschatz', 'Wurzen', 'Eilenburg', 'Halle', 'Eisleben', 'Nordhausen', 'Bergen-Belsen']",51.266666666667 51.152777777778 51.181388888889 51.266666666667 51.283333333333 51.308055555556 51.300277777778 51.366666666667 51.460833333333 51.48277777777778 51.516666666667 51.505 52.758899,15.566666666667 14.987222222222 14.423888888889 14.1 13.55 13.293888888889 13.107222222222 12.716666666667 12.635833333333 11.969722222222222 11.55 10.791111111111 9.907099
68,Christianstadt,"['Bad Muskau', 'Pirna', 'Liebstadt', 'Zinnwald', 'Brüx', 'Komotau', 'Karlsbad', 'Eger', 'Plauen (Vogtland) Oberer Bahnhof', 'Gera', 'Leipzig Hauptbahnhof', 'Celle', 'Bergen-Belsen']",51.783298 51.549722222222 50.962222222222 50.864722222222 50.736388888889 50.503055555556 50.462777777778 50.230555555556 50.079759165169 50.5053 50.87818 51.34527777777778 52.625555555556 52.758899,15.25 14.72 13.940277777778 13.855555555556 13.765 13.636666666667 13.411111111111 12.8725 12.373995588434 12.13 12.08242 12.382222222222222 10.0825 9.907099
69,Dessau,"['Torgau', 'Leitmeritz']",51.834166666667 51.560277777778 50.53355947692,12.246111111111 13.005555555556 14.131899491403
70,Gebhardtsdorf,"['Raspenau', 'Reichenberg', 'Kratzau', 'Grottau', 'Zittau', 'Großschönau', 'Sankt Georgenthal']",50.97833333 50.904211053115 50.7699972 50.81698593906 50.85285295319 50.896111111111 50.896388888889 50.874517890076,15.34694444 15.114763824276 15.0584492 14.968948444345 14.844661931528 14.807222222222 14.662222222222 14.575194251298
71,Schlesiersee,"['Grünberg', 'Bad Muskau', 'Weißwasser/Oberlausitz', 'Nochten', 'Salzenforst', 'Dresden', 'Freiberg', 'Chemnitz', 'Oelsnitz/Vogtland', 'Theuma', 'Helmbrechts', 'Zwodau', 'Wallern', 'Prachatitz']",51.8833 51.939722222222 51.549722222222 51.5 51.431944444444 51.1975 51.05 50.911944444444 50.833333333333 50.416666666667 50.47 50.23677305555555 50.192347393565 48.9088 49.0109,16.066699 15.505 14.72 14.633055555556 14.6 14.371388888889 13.74 13.342777777778 12.916666666667 12.166666666667 12.2225 11.715915 12.625320911756 13.8866 14.0000
72,Hadmersleben,"['Aken/Elbe', 'Lobositz']",51.991944444444 51.8539 50.515121498998,11.301111111111 12.0431 14.051126534986
73,Halbau,"['Rothenburg/Oberlausitz', 'Niesky', 'Bautzen', 'Kamenz', 'Großenhain', 'Riesa', 'Wermsdorf', 'Dehnitz', 'Bennewitz', 'Bergen-Belsen']",51.501944444444 51.333055555556 51.289722222222 51.181388888889 51.266666666667 51.283333333333 51.308055555556 51.283333333333 51.3519771 51.359722222222 52.758899,15.205833333333 14.966666666667 14.83 14.423888888889 14.1 13.55 13.293888888889 12.95 12.7278574 12.711388888889 9.907099
74,Halberstadt,"['Könnern', 'Zörbig', 'Bitterfeld', 'Bad Düben', 'Pressel', 'Langenreichenbach', 'Luppa', 'Riesa', 'Deutschenbora', 'Freiberg', 'Brand-Erbisdorf', 'Langenau', 'Borstendorf', 'Grünhainichen', 'Klaffenbach', 'Neukirchen/Erzgeb.', 'Mittelbach', 'Oberlungwitz']",51.895833333333 51.669722222222 51.61666666666667 51.623888888889 51.591944444444 51.579 51.4869 51.3342 51.308055555556 51.0596 50.911944444444 50.868888888889 50.8361 50.77323 50.7675 50.7611 50.779444444444 50.8 50.783333333333,11.046666666667 11.770833333333 12.116666666666667 12.33 12.585277777778 12.7043 12.9038 12.9586 13.293888888889 13.361 13.342777777778 13.321944444444 13.2972 13.17918 13.153888888889 12.9139 12.866944444444 12.7978 12.716666666667
75,Hartmannsdorf/M.,"['Seidenberg', 'Zittau', 'Spitzcunnersdorf', 'Seifhennersdorf', 'Löbau', 'Bautzen', 'Kamenz', 'Königsbrück', 'Glauschnitz', 'Sacka', 'Thiendorf', 'Schönfeld/R.', 'Quersa', 'Adelsdorf', 'Großenhain', 'Wildenhain/Sachsen', 'Glaubitz', 'Zeithain', 'Röderau', 'Lessa', 'Bobersen', 'Gohlis', 'Kleinzschepa', 'Lorenzkirch', 'Strehla', 'Oppitzsch', 'Riesa', 'Gröba', 'Merzdorf', 'Canitz', 'Bornitz', 'Lonnewitz', 'Oschatz', 'Lampersdorf', 'Hubertusburg', 'Wermsdorf', 'Mutzschen', 'Pegau', 'Weißenfels', 'Naumburg', 'Bad Kösen', 'Bad Sulza', 'Apolda', 'Weimar', 'Buchenwald']",51.00479 51.02615 50.896111111111 50.9375 50.9333 51.094444444444 51.181388888889 51.266666666667 51.26451 51.267677222222 51.283611111111 51.3 51.303888888889 51.303471444975 51.319373 51.283333333333 51.3062 51.316666666667 51.333333333333 51.31916667 51.3207 51.32416667 51.34638889 51.3499 51.3549 51.353055555556 51.353055555556 51.308055555556 51.32194444 51.31055 51.3133 51.3044 51.2877 51.300277777778 51.2833 51.2774 51.283333333333 51.266667 51.166666666667 51.2 51.152095 51.135277777778 51.0889 51.024722222222 50.983333333333 51.021198,15.24868 15.062383333333 14.807222222222 14.684722222222 14.6167 14.666666666667 14.423888888889 14.1 13.9054 13.847040277778 13.793161111111 13.75 13.707777777778 13.64239167982 13.582835 13.55 13.4725 13.383333333333 13.35 13.32166667 13.3042 13.29944444 13.29 13.2647 13.2427 13.225833333333 13.225833333333 13.293888888889 13.27638889 13.25312 13.2206 13.1806 13.1398 13.107222222222 13.0398 12.9398 12.95 12.9 12.25 11.966666666667 11.809819 11.720555555556 11.6247 11.513888888889 11.316666666667 11.248999
76,Harzungen,"['Großenhain', 'folbern', 'Radeburg', 'Radeberg', 'Stolpen', 'Sebnitz', 'Hinterhermsdorf', 'Schönlinde', 'Rabstein']",51.5564 51.283333333333 51.30005 51.2130 51.116666666667 51.048888888889 50.966666666667 50.923611111111 50.913102896533 50.8007838,10.8039 13.55 13.58939 13.7233 13.916666666667 14.082777777778 14.283333333333 14.358333333333 14.510107117856 14.386125
